t,f
0.000000000000000,1299728134.549410104751587
0.100000000000000,1409447629.646981477737427
0.200000000000000,1532023316.412117719650269
0.300000000000000,1669212981.287096500396729
0.400000000000000,1823525074.039191007614136
0.500000000000000,1998129926.001155376434326
0.600000000000000,2196407716.645777702331543
0.700000000000000,2420702741.332094669342041
0.800000000000000,2669652239.155647277832031
0.900000000000000,2931487962.011672973632813
0.950000000000000,3055014134.725481986999512
1.000000000000000,3160316557.075769901275635
